Name,Model,Description,URL
Vic Firth Robert Van Sice Marimba Mallets - Medium Hard,MODEL: M115,"For upper-register clarity and projection, the Vic Firth M115 Robert Van Sice Medium-Hard Marimba Mallets are an outstanding choice. These mallets are voiced to be bright and articulate, perfectly cutting through an ensemble without ever reaching a harsh or ""xylophone-like"" brilliance.

Exclusive Construction and Reach

To create the perfect singing tone, these mallets are crafted using an exclusive yarn hand-wrapping technique that removes the harsh sound of bar contact. The yarn is secured with a special interlocking stitch pattern to preserve the shape of the head through aggressive playing. Built on extra-long maple handles, performers are granted the reach and leverage needed for modern, multi-octave marimba literature.

Features:
Voicing: Medium-Hard articulation for bright projection without harshness.
Seamless Articulation: Exclusive hand-wrapped yarn eliminates the sound of mallet-to-bar contact.
Extended Leverage: Long maple shafts provide incredible reach across the keyboard.
Dimensions: 17"" Length | Maple Handles",https://www.steveweissmusic.com/products/vic-firth-m115-marimba-mallets
Innovative Ludwig Albert IP3105B Medium Birch Marimba Mallets,MODEL: IP3105B,"This line of professional keyboard mallets by Innovative Percussion has been specifically designed for Belgium marimba artist Ludwig Albert III. The eight models, previously only offered on rattan handles, are now available on natural birch handles with specially weighted rubber cores of varying sizes and degrees of hardness.

The IP31015B is a medium marimba mallet with birch handles.",https://www.steveweissmusic.com/products/innovative-ludwig-albert-ip3105b
Innovative Fundamental Series F1.5 Medium Marimba Mallets,MODEL: F1.5,"Innovative Percussion F1.5 Medium Marimba Mallets feature black painted birch handles, a rubber core to create a full rich tone, and extra durable synthetic yarn.

Manufactured by the leader in high quality keyboard mallets, the Innovative Percussion Fundamental Series Keyboard Mallets were specifically designed with the beginning percussionist and budget conscious band director in mind. This economical series offers the beginning percussionist and band director a line of quality keyboard mallets at an affordable price.

The Fundamental Series is available in 15 different models. All models feature black birch dowels and the two vibraphone models are also available with high quality rattan handles.",https://www.steveweissmusic.com/products/innovative-fundamental-f1-5-medium-marimba
Vic Firth Robert Van Sice Keyboard Mallets - Medium Soft,MODEL: M123,"The Robert van Sice Signature Keyboard mallets from Vic Firth feature a heavy synthetic core that produces a very robust and complete sound. These yarn wound marimba mallets have been crafted with an exclusive hand-wrapping technique that virtually eliminates the sound of bar contact. A special interlocking stitch pattern maintains the integrity of the head. The maple handles are 17″ long and provide an excellent feel and control. With a full depth of sound and excellent versatility of color, these mallets are the perfect choice for music from Japanese repertoire and pieces demanding multiple layers of timbre.

The M123 is a very versatile medium soft mallet that can be used throughout the entire range of the instrument.",https://www.steveweissmusic.com/products/vic-firth-robert-van-sice-mallet-medium-soft
Marimba One Double Helix DHB2 Hard Birch Mallets,N/A,"The Double Helix Series was developed to bring out the warmth of the fundamental throughout the range of the 5-octave marimba. The relaxed yarn tension on these mallets enhances the smooth, dark attack of the mallet.

The exclusive patent pending “double helix wrap” technique allows you to easily identify each mallet in the series. Two strands of yarn are wrapped independently of each other, creating a woven effect. After one of the strands makes a revolution around the mallet head, the other strand makes a revolution, securing the previous strand. This locks the yarn in place and prevents it from unraveling. This unique method of wrapping provides our mallets with their distinct look, and exceptional sound.",https://www.steveweissmusic.com/products/marimba-one-double-helix-dhb2
Salyers Etude Series Birch Marimba Mallets - Medium,N/A,"The Salyers Percussion E20 medium yarn mallet features birch shafts, a rubber core and high quality wool/nylon blend yarn for a full, round tone. This mallet is an excellent choice for marimba and suspended cymbal.

The Etude Series is designed to be a high quality and economical solution for percussionists and band directors. The Etude Series is made with the same quality materials that you will find on many higher priced alternatives. The design, craftsmanship and material selection set this series apart from other “value” brands on the market today.",https://www.steveweissmusic.com/products/salyers-etude-birch-marimba-mallets-medium
Innovative Soloist Series IP300 Med Hard Birch Marimba Mallets,MODEL: IP300,"The Innovative Percussion IP300 Soloist Series Medium Hard Marimba Mallets are slightly harder than the IP275 model and are designed for use in the upper 4 octaves of a 5 octave marimba. This model features 100% wool yarn, birch handles and hard rubber cores that help to create a full, rich tome and warm fundamental.

Designed with the marimba virtuoso in mind, the Soloist Series is constructed using hard rubber cores, covered in a series of latex combinations. The mallets are wrapped is a 100% wool wrap, custom manufactured specifically for Innovative Percussion, which delivers a brilliant, rich tone with the warmest fundamental possible in all registers of the marimba. The series is offered on birch handles that are polished for the smoothest natural finish. Each step of production insures a mallet designed to meet the highest standards of today's most demanding marimbist.",https://www.steveweissmusic.com/products/innovative-ip300
Malletech Concerto Series CN14 Medium to Medium Hard Birch Marimba Mallets,MODEL: CN14,"The CN14 is a general mallet that is very versatile in respect to its application in concerto and ensemble literature. The most popular “general” mallet in the Concerto Series. Medium to Medium Hard, Multi-Toned.

The six models that comprise the Concerto Series have been designed specifically for those players looking for a heavy mallet with a big sound that will project through a large ensemble, but do not want the contact noise that is usually associated with this type of mallet. Compared to standard traditional mallets of similar hardness, the player will immediately notice proportionally more fundamental tone and greater volume. While many synthetic yarns suffer from high-pitched “tick”, this yarn is very quiet on the attack, while exceeding the durability and abrasion resistance of nylon.",https://www.steveweissmusic.com/products/malletech-cn14-hard-birch-marimba-mallets
Encore GRADB Nancy Zeltsman Graduated Birch Mallet Set,N/A,"“The Encore Nancy Zeltsman Graduated Set was devised to provide an affordable means to try a graduated set if you haven’t already done so. This is a combination of mallets I use about 60% of the time. It naturally ‘voices’ most chord playing. In essence, this graduated set is an example of the way my entire line was designed to best flatter different registers of the instrument.

This Graduated Set of 4 Encore Nancy Zeltsman’s mallets includes 1 each of NZ2B Medium Harder, NZ3B Medium Hard, NZ4B Medium and NZ6B Articulate Bass. Birch Handles.

One unique characteristic of my line is that the oval-shape of the mallet head is horizontal rather than vertical. I imagine (and maybe it’s true) that the width of the mallet activates more of the vertical grains of wood in every bar-thus contributing to a richer tone. Everything about the construction of my line of mallets-from the cores, to the latex, to the type of yarn-is aimed at helping you to produce a fundamental-rich tone.”

- Nancy Zeltsman",https://www.steveweissmusic.com/products/encore-gradb-zeltsman-birch-mallet-set
Marimba One Round Sound Birch Marimba Mallets - Medium,N/A,"Marimba One Round Sound mallets are the perfect marriage of Marimba One sound quality and the needs of percussionists. The RSB3 is a medium mallet, perfect balance for the middle range, with a birch handle.

Marimba One Round Sound series mallets feature the same Marimba One excellence at a more affordable price. They are a lightweight mallet with warmth and articulation. This is the mallet that works to make you sound great. Double-wound using Marimba One’s exclusive technology.",https://www.steveweissmusic.com/products/marimba-one-round-sound-mallets-medium
Innovative Mark Ford IP813 Medium Hard Birch Marimba Mallets,MODEL: IP813,The Strong Legato series from the Innovative Percussion Mark Ford line is designed to produce a very Strong Legato tone with well defined fundamentals. IP813 Medium Hard mallet from this series does just that. It works great in a set or in a solo setting. A rubber core wrapped in soft yarn on top of an unfinished birch handle gives the player control and dynamics.,https://www.steveweissmusic.com/products/innovative-mark-ford-ip813
Vic Firth Robert Van Sice Marimba Mallets - Soft,MODEL: M112,"Vic Firth M112 Robert Van Sice Soft Marimba Mallets produces a broad sound with tremendous projections that is dark, but not muffled.

Respected internationally as a soloist, teacher and masterclass instructor, Robert Van Sice designed this series of yarn wound marimba mallets with an exclusive hand-wrapping technique that virtually eliminates the sound of bar contact. A special interlocking stitch pattern maintains the integrity of the head. With extra long maple handles for read and leverage. In pairs.

Length: 17""",https://www.steveweissmusic.com/products/vic-firth-m112-marimba-mallets
Malletech Eric Sammut ES12 Soft to Medium Hard Birch Marimba Mallets,MODEL: ES12,"Soft to medium-hard range of tonality. Birch shafts.

One of the rising stars of the marimba, Eric is noted for his extremely unique and expressive style. His mallets feature a custom and distinctive orange yarn, and unusually heavy heads for a very full sound.",https://www.steveweissmusic.com/products/malletech-es12-mutli-toned-birch-marimba-mallets
Marimba One Double Helix DHB5 Medium Soft Birch Mallets,N/A,"The Double Helix Series was developed to bring out the warmth of the fundamental throughout the range of the 5-octave marimba. The relaxed yarn tension on these mallets enhances the smooth, dark attack of the mallet.

The exclusive patent pending “double helix wrap” technique allows you to easily identify each mallet in the series. Two strands of yarn are wrapped independently of each other, creating a woven effect. After one of the strands makes a revolution around the mallet head, the other strand makes a revolution, securing the previous strand. This locks the yarn in place and prevents it from unraveling. This unique method of wrapping provides our mallets with their distinct look, and exceptional sound.",https://www.steveweissmusic.com/products/marimba-one-double-helix-dhb5
Malletech Michael Burritt Version 2 MB13-V2 Marimba Mallets - Medium to Medium Hard,MODEL: MB13-V2,"Multi-toned: medium to medium hard with red label.

Provides a full sound in all the registers and rolls well at medium dynamic levels. This is a great general mallet for those players who want the sound of a rubber core and a bit of bite to the attack.

Mike is internationally respected as a marimba virtuoso, composer and teacher. The six models of the Michael Burritt Series are built around 1 1/8″ diameter natural rubber cores. All of the models also have one or more additional layers of latex rubber on top of the natural rubber for a more complex multi-toned response pattern. All models are wrapped and stitched with a synthetic blend that has good durability. The yarn has also been designed to have just a touch of contact “chiff” for the extra cutting power Michael requires. All models feature selected birch shafts.

Synthetic Yarn
Medium Hard to Medium Hard Hardness (Multi-tonal)
Birch Shafts
Oval Shaped Mallet Head",https://www.steveweissmusic.com/products/malletech-burritt-marimba-medium-medium-hard
Innovative Ludwig Albert IP3104B Medium Soft Birch Marimba Mallets,MODEL: IP3104B,"This line of professional keyboard mallets by Innovative Percussion has been specifically designed for Belgium marimba artist Ludwig Albert III. The eight models, previously only offered on rattan handles, are now available on natural birch handles with specially weighted rubber cores of varying sizes and degrees of hardness.

The IP3104B is a medium soft marimba mallet with birch handles.",https://www.steveweissmusic.com/products/innovative-ludwig-albert-ip3104b
Innovative Casey Cangelosi CGL3 Low-Mid Register Marimba Mallets,MODEL: CGL3,"Wrapped in an environmentally friendly bamboo-blended cord, the Casey Cangelosi Series Marimba Mallets combines the rich, warm tonal characteristics of yarn with the articulate clarity of cord. These mallets are built on birch dowels with a natural finish and allow for a heavy bass sound without sounding muddy or washy, a delicate touch for lyrical legato passages that speak from the mallet immediately, and a steady timbre throughout the dynamic range. The two softest mallets are also available with a soft yarn wrap.

The CGL3 is intended for the low to mid register of the marimba. This mallet begins to dip into the qualities of bass sound for colors of long lyrical legato.",https://www.steveweissmusic.com/products/innovative-casey-cangelosi-cgl3-marimba-mallets
Vic Firth Robert Van Sice Keyboard Mallets - Medium Hard,MODEL: M125,"The Robert van Sice Signature Keyboard mallets from Vic Firth feature a heavy synthetic core that produces a very robust and complete sound. These yarn wound marimba mallets have been crafted with an exclusive hand-wrapping technique that virtually eliminates the sound of bar contact. A special interlocking stitch pattern maintains the integrity of the head. The maple handles are 17″ long and provide an excellent feel and control. With a full depth of sound and excellent versatility of color, these mallets are the perfect choice for music from Japanese repertoire and pieces demanding multiple layers of timbre.

The M125 medium hard mallets are the most expressive of the series and is an ideal choice for modern marimba repertoire.",https://www.steveweissmusic.com/products/vic-firth-robert-van-sice-mallet-medium-hard
Innovative Soloist Series IP275 Med Hard Legato Birch Marimba Mallets,MODEL: IP275,"The Innovative Percussion IP275 Soloist Series Medium Hard Legato Marimba Mallets are a good solo mallet that works through the entire range of the marimba and feature 100% wool yarn, birch handles and hard rubber cores that help to create a full, rich tome and warm fundamental.

Designed with the marimba virtuoso in mind, the Soloist Series is constructed using hard rubber cores, covered in a series of latex combinations. The mallets are wrapped is a 100% wool wrap, custom manufactured specifically for Innovative Percussion, which delivers a brilliant, rich tone with the warmest fundamental possible in all registers of the marimba. The series is offered on birch handles that are polished for the smoothest natural finish. Each step of production insures a mallet designed to meet the highest standards of today's most demanding marimbist.",https://www.steveweissmusic.com/products/innovative-ip275
Innovative Soloist Series IP240N Medium Birch Marimba Mallets - Natural Handles,MODEL: IP240N,"Innovative Percussion's most popular series of solo marimba mallets is now offered with unfinished birch handles thanks to countless requests. All six models are available with a natural finish that provides a more slip resistant grip that is ideal for players who prefer an enhanced grip on their mallets.

The Innovative Percussion IP240N Soloist Series Medium Marimba Mallets are designed for use in the middle 3 octaves of a 5 octave marimba but offers more articulation than the IP200 model. The IP240N mallets feature 100% wool yarn and hard rubber cores that help to create a full, rich tome and warm fundamental.

Designed with the marimba virtuoso in mind, the Soloist Series is constructed using hard rubber cores, covered in a series of latex combinations. The mallets are wrapped is a 100% wool wrap, custom manufactured specifically for Innovative Percussion, which delivers a brilliant, rich tone with the warmest fundamental possible in all registers of the marimba.",https://www.steveweissmusic.com/products/innovative-ip240n-natural-mallets
Vic Firth Virtuoso Series Keyboard Mallets - Medium,MODEL: M212,"Vic Firth M212 Virtuoso Series Medium Marimba Mallets are the most versatile mallet of the Virtuoso Series. An all-purpose marimba mallet.

Designed for the solo marimba performer, the Vic Firth Virtuoso Series features a rubber core wrapped with a wool blend yarn for an enhanced warm and full-bodied sound. The handles are made of birch with a unique ""slip-resistant"" finish for excellent feel and enhanced control. A fine choice in ensemble settings as well.

Length: 17""",https://www.steveweissmusic.com/products/vic-firth-m212-marimba-mallets
Encore NZ2B Nancy Zeltsman Medium Harder Birch Marimba Mallets,N/A,"The Encore NZ2B Nancy Zeltsman ""Medium Harder"" mallets speak very easily, and produce a clear, warmer sound-perfect for playing a melody with the upper mallet. These are intended for more general use than the NZ1s. Birch Handles.

One unique characteristic of my line is that the oval-shape of the mallet head is horizontal rather than vertical. I imagine (and maybe it's true) that the width of the mallet activates more of the vertical grains of wood in every bar-thus contributing to a richer tone. Everything about the construction of my line of mallets-from the cores, to the latex, to the type of yarn-is aimed at helping you to produce a fundamental-rich tone.

- Nancy Zeltsman

Hardness - Medium Harder
Handles - Birch",https://www.steveweissmusic.com/products/encore-nancy-zeltsman-nz2b-mallets
Vic Firth Terry Gibbs Keyboard - Medium - Blue Cord,MODEL: M31,"Vic Firth M31 Terry Gibbs Vibraphone or Marimba Mallets were conceived through extensive discussion and research with Terry Gibbs. Medium vibe or marimba. Rattan handles.

Length = 15 1/4""",https://www.steveweissmusic.com/products/vic-firth-m31-terry-gibbs-mallets
Innovative Sandi Rennick Series Medium Marimba Mallets,MODEL: IP4002,"Constructed with uniquely weighted compact cores, the IP4000 series marimba mallets were designed to the specifications of Sandi Rennick, the Front Ensemble Arranger of the 9-time DCI World Champion Santa Clara Vanguard. Putting more weight in the players hands, these models produce a focused sound which speaks quickly, and was created with today's modern amplified keyboard section in mind.

Starting with durable birch handles in a matte finish, these implements are also wrapped with synthetic yarn which makes them able to withstand the needs of rigorous rehearsal and performance schedules. The versatility found in the Sandi Rennick series makes balancing and blending your ensemble easier than ever before.

Sandi Rennick Series
IP4001: Soft Marimba
IP4001C: Soft Marimba - Cord
IP4002: Medium Marimba
IP4002C: Medium Marimba - Cord
IP4002.5: Medium Hard Marimba
IP4002.5C: Medium Hard Marimba - Cord
IP4003: Hard Marimba
IP4003C: Hard Marimba - Cord
IP4004: Wrapped Xylophone
IP4005: Soft Vibraphone
IP4006: Medium Vibraphone
IP4007: Hard Vibraphone",https://www.steveweissmusic.com/products/innovative-sandi-rennick-medium-marimba-mallets
Malletech Late Nite Series Super Soft Mallets - Birch Handles,N/A,"The Malletech Late Night Series grants mallet players the ability to practice on their instrument delivering an extremely low volume sound. Essentially this is the practice pad for mallet players. Play with normal natural feel, mallets to bar. No covers, mutes or bar treatments needed. Perfect for warming up backstage, apartment or dorm living situations.

The LN1B is loosely wrapped with a soft yarn delivering a super soft tone, nearly silent with slurring articulation.

Birch Handles",https://www.steveweissmusic.com/products/malletech-late-nite-super-soft-birch
Encore NZ4B Nancy Zeltsman Medium Birch Marimba Mallets,N/A,"The Encore NZ4B Nancy Zeltsman ""Medium"" mallets are the ideal ""tenor"" mallet in a graduated set, because of their warm sound. For rolls and chorale playing in the medium-low register, they have a wonderful legato quality. I seldom use these above middle-C. Birch Handles.

One unique characteristic of my line is that the oval-shape of the mallet head is horizontal rather than vertical. I imagine (and maybe it's true) that the width of the mallet activates more of the vertical grains of wood in every bar-thus contributing to a richer tone. Everything about the construction of my line of mallets-from the cores, to the latex, to the type of yarn-is aimed at helping you to produce a fundamental-rich tone.

- Nancy Zeltsman

Hardness - Medium
Handles - Birch",https://www.steveweissmusic.com/products/encore-nancy-zeltsman-nz4b-mallets
Vic Firth Robert Van Sice Keyboard Mallets - Soft,MODEL: M122,"The Robert van Sice Signature Keyboard mallets from Vic Firth feature a heavy synthetic core that produces a very robust and complete sound. These yarn wound marimba mallets have been crafted with an exclusive hand-wrapping technique that virtually eliminates the sound of bar contact. A special interlocking stitch pattern maintains the integrity of the head. The maple handles are 17"" long and provide an excellent feel and control. With a full depth of sound and excellent versatility of color, these mallets are the perfect choice for music from Japanese repertoire and pieces demanding multiple layers of timbre.

The M122 is a soft mallet ideal for pieces such as the Bach Cello Suites.",https://www.steveweissmusic.com/products/vic-firth-robert-van-sice-mallet-soft
Malletech Mtech Marimba Mallets - Medium,MODEL: MT-MM12,These are the Medium Marimba Mallets from the MTech Mallet Series functioning great across the entire instrument. These mallets are designed to pair perfectly with the MTech Marimba series.,https://www.steveweissmusic.com/products/malletech-mtech-medium-mallet
Innovative Rattan Series RS301 Hard Rattan Vibe/Marimba Mallets,MODEL: RS301,"This line of mallets has been designed for the contemporary vibraphonist. The rubber mushroom shaped core achieves a rich and fundamentally warm tone. Each pair is hand matched for weight, size and sound.",https://www.steveweissmusic.com/products/innovative-rs301
Malletech Eric Sammut ES16 Medium to Medium Hard Birch Marimba Mallets,MODEL: ES16,"Medium to medium hard, multi-toned. Brighter than the ES12 model. Birch shafts.

One of the rising stars of the marimba, Eric is noted for his extremely unique and expressive style. His mallets feature a custom and distinctive orange yarn, and unusually heavy heads for a very full sound.",https://www.steveweissmusic.com/products/malletech-es16-multi-toned-birch-marimba-mallets
Innovative Pius Cheung Graduated Marimba Mallet Set - Birch,MODEL: PIUS-GSB,"The Innovative Percussion Pius Cheung Series Marimba Mallets features six models with rubber cores of varying hardness. Constructed on rattan handles, each model is wrapped with a very unique alpaca-blend yarn that allows the player to produce a musically strong fundamental at extreme dynamic ranges from the utmost silky pianissimo to peasante fortissimo with minimal effort.

The PIUS-GS Series for general playing includes 1 PIUS1B, 2 PIUS3B's, and 1 PIUS4B.",https://www.steveweissmusic.com/products/innovative-pius-cheung-marimba-mallets-graduated-birch
Marimba One Wave Wrap WWXB3 Medium Birch Mallets,N/A,"The WWXB3 is a medium mallet with Gray/Blaze colored yarn and birch handles. The highest concentration of yarn is wrapped around the mallet's equator, creating an increased striking surface and a mallet that is more responsive than traditionally wrapped mallets. The Wave Wrap's blend of wool and nylon yarn minimizes contact sound and enhances articulation. Using Wave Wrap technology, the mallet is balanced to facilitate the ease of movement in the player's hand. The double equatorial wrap creates a chevron pattern around the playing surface and a distinctive wave on top of the head - two unique visual signatures for these finest of marimba mallets.",https://www.steveweissmusic.com/products/marimba-one-wave-wrap-medium-birch
Malletech Late Nite Series Soft Mallets - Birch Handles,N/A,"The Malletech Late Night Series grants mallet players the ability to practice on their instrument delivering an extremely low volume sound. Essentially this is the practice pad for mallet players. Play with normal natural feel, mallets to bar. No covers, mutes or bar treatments needed. Perfect for warming up backstage, apartment or dorm living situations.

The LN2B is snugly wrapped with a nylon yarn delivering a soft and quiet tone with articulation.

Birch Handles",https://www.steveweissmusic.com/products/malletech-late-nite-soft-birch
Balter Ensemble Series 13B Medium Blue Yarn Marimba Mallet - Birch,MODEL: B13B,"The Balter Ensemble Series Birch 13B Medium Blue Yarn is on of the cornerstones of the Mike Balter keyboard mallet line. These single-tone yarn wound mallets feature solid rubber cores that are the ideal weight for general playing. Their proven reliability has made them an industry standard that continues to exceed the needs of the player.

Type: Blue Yarn
Handle: Birch
Hardness: Medium
Use: Marimba, Vibes",https://www.steveweissmusic.com/products/mike-balter-13b-mallets
Malletech Leigh Howard Stevens LS15 Medium Soft–Hard Birch Marimba Mallets,MODEL: LS15,"Medium soft to hard, red label, and multi-toned. A full range medium soft to hard mallet that speaks clearly in all registers, yet still rolls smoothly. The most popular “general use” mallet in the Stevens Series.",https://www.steveweissmusic.com/products/malletech-ls15-medium-soft-hard-marimba-mallets
Vic Firth Virtuoso Series Keyboard Mallets - Medium Hard,MODEL: M213,"Vic Firth M213 Virtuoso Series Medium Hard Marimba Mallets provide excellent clarity throughout the full range of the marimba.

Designed for the solo marimba performer, the Vic Firth Virtuoso Series features a rubber core wrapped with a wool blend yarn for an enhanced warm and full-bodied sound. The handles are made of birch with a unique ""slip-resistant"" finish for excellent feel and enhanced control. A fine choice in ensemble settings as well.

Length: 17""",https://www.steveweissmusic.com/products/vic-firth-m213-marimba-mallets
Malletech Michael Burritt Version 2 MB8-V2 Marimba Mallets - Soft to Medium,MODEL: MB08-V2,"Multi-toned: soft to medium, with green label. Produces a huge sound throughout the range of the marimba.

Mike is internationally respected as a marimba virtuoso, composer and teacher. The six models of the Michael Burritt Series are built around 1 1/8″ diameter natural rubber cores. All of the models also have one or more additional layers of latex rubber on top of the natural rubber for a more complex multi-toned response pattern. All models are wrapped and stitched with a synthetic blend that has good durability. The yarn has also been designed to have just a touch of contact “chiff” for the extra cutting power Michael requires. All models feature selected birch shafts.

Synthetic Yarn
Soft Hardness
Birch Shafts
Oval Shaped Mallet Head",https://www.steveweissmusic.com/products/malletech-burritt-marimba-soft-medium
